student_id,first_name,last_name,campus,school,study_mode,domestic_international
S001,Mia,Taylor,Brisbane,Engineering,Hybrid,Domestic
S002,Zara,Harris,Brisbane,IT,Hybrid,International
S003,Leo,Scott,Melbourne,IT,On-campus,Domestic
S004,Jack,Patel,Melbourne,IT,Hybrid,Domestic
S005,Ethan,Wilson,Perth,IT,Online,Domestic
S006,Mia,Taylor,Perth,IT,On-campus,Domestic
S007,Mason,White,Sydney,Business,Online,International
S008,Jack,Thomas,Sydney,IT,Online,Domestic
S009,Jack,Jones,Melbourne,Business,On-campus,Domestic
S010,Olivia,Patel,Melbourne,Business,Online,International
S011,Ethan,White,Perth,Business,On-campus,Domestic
S012,Noah,Taylor,Sydney,Business,On-campus,Domestic
S013,Sara,King,Sydney,Business,On-campus,International
S014,Charlotte,Smith,Melbourne,Business,On-campus,International
S015,Ava,Lee,Sydney,Engineering,On-campus,Domestic
S016,Sara,White,Melbourne,Business,Online,International
S017,Ali,Chen,Brisbane,Business,Online,International
S018,Charlotte,Martin,Brisbane,Engineering,Hybrid,Domestic
S019,Charlotte,Martin,Sydney,Engineering,Hybrid,Domestic
S020,Oscar,Scott,Melbourne,Business,Online,Domestic
S021,Amelia,Jones,Melbourne,IT,Online,Domestic
S022,Grace,Taylor,Melbourne,IT,On-campus,Domestic
S023,Leo,Nguyen,Sydney,Business,On-campus,Domestic
S024,Leo,Nguyen,Melbourne,Engineering,Online,Domestic
S025,Mason,Scott,Perth,Engineering,On-campus,Domestic
S026,Charlotte,White,Melbourne,Business,Online,Domestic
S027,Zara,Khan,Perth,Business,On-campus,Domestic
S028,Noah,Brown,Melbourne,Engineering,Hybrid,Domestic
S029,Liam,Taylor,Melbourne,IT,Hybrid,International
S030,Mason,Chen,Melbourne,IT,Online,Domestic
S031,Mia,Singh,Brisbane,IT,On-campus,International
S032,Lucas,Khan,Perth,IT,On-campus,Domestic
S033,Mia,Wilson,Sydney,Engineering,Hybrid,International
S034,Chloe,Nguyen,Melbourne,Engineering,Hybrid,Domestic
S035,Olivia,King,Melbourne,Engineering,On-campus,International
S036,Isla,Lee,Brisbane,IT,Online,Domestic
S037,Chloe,Martin,Sydney,Engineering,On-campus,Domestic
S038,Lucas,Thomas,Perth,IT,On-campus,International
S039,Sara,Khan,Melbourne,IT,On-campus,Domestic
S040,Zara,Scott,Sydney,Business,On-campus,Domestic
S041,Leo,Harris,Perth,Engineering,Hybrid,Domestic
S042,Mia,Harris,Brisbane,Engineering,Online,Domestic
S043,Charlotte,Scott,Perth,IT,On-campus,Domestic
S044,Ethan,Martin,Sydney,Engineering,Online,Domestic
S045,Leo,Taylor,Melbourne,IT,Hybrid,International
S046,Noah,Smith,Melbourne,Business,Hybrid,Domestic
S047,Isla,Brown,Perth,Business,On-campus,Domestic
S048,Oscar,Harris,Sydney,Business,On-campus,Domestic
S049,Olivia,Wilson,Sydney,IT,On-campus,Domestic
S050,Chloe,Harris,Sydney,Business,On-campus,Domestic
S051,Ethan,Harris,Sydney,IT,On-campus,International
S052,Olivia,Harris,Melbourne,Business,Online,Domestic
S053,Sara,Smith,Melbourne,IT,On-campus,Domestic
S054,Ava,Smith,Melbourne,IT,On-campus,Domestic
S055,Amelia,Wilson,Brisbane,IT,On-campus,Domestic
S056,Olivia,Nguyen,Perth,Business,On-campus,International
S057,Chloe,Nguyen,Sydney,Business,On-campus,Domestic
S058,Charlotte,King,Sydney,IT,Online,Domestic
S059,Sara,Smith,Brisbane,IT,On-campus,International
S060,Amelia,Martin,Melbourne,Business,On-campus,Domestic
S061,Olivia,Chen,Sydney,Engineering,On-campus,International
S062,Isla,Patel,Sydney,Business,Online,Domestic
S063,Grace,Jones,Sydney,IT,On-campus,International
S064,Leo,Harris,Brisbane,Engineering,On-campus,Domestic
S065,Ethan,Chen,Sydney,IT,On-campus,International
S066,Isla,Wilson,Brisbane,IT,Hybrid,Domestic
S067,Ethan,Scott,Melbourne,IT,On-campus,Domestic
S068,Grace,Smith,Sydney,IT,Online,Domestic
S069,Henry,Chen,Melbourne,IT,Hybrid,International
S070,Chloe,Jones,Sydney,Business,On-campus,International
S071,Leo,Walker,Melbourne,Business,Hybrid,International
S072,Henry,Walker,Sydney,IT,Online,Domestic
S073,Lucas,Nguyen,Sydney,Engineering,On-campus,International
S074,Leo,Khan,Melbourne,IT,On-campus,Domestic
S075,Henry,Chen,Sydney,Business,Hybrid,Domestic
S076,Ali,Walker,Sydney,IT,Online,Domestic
S077,Mia,Brown,Melbourne,IT,Hybrid,International
S078,Lucas,Scott,Sydney,Business,On-campus,Domestic
S079,Ali,Patel,Perth,IT,Online,Domestic
S080,Charlotte,King,Sydney,IT,On-campus,International
S081,Ethan,Brown,Melbourne,IT,Hybrid,Domestic
S082,Jack,King,Melbourne,IT,Online,Domestic
S083,Mason,Scott,Brisbane,Business,On-campus,Domestic
S084,Oscar,Taylor,Sydney,Business,On-campus,Domestic
S085,Ethan,Scott,Sydney,Business,On-campus,Domestic
S086,Noah,Khan,Perth,Engineering,On-campus,Domestic
S087,Noah,Nguyen,Brisbane,Engineering,On-campus,Domestic
S088,Ali,Singh,Perth,IT,Online,Domestic
S089,Liam,Taylor,Sydney,Engineering,Online,Domestic
S090,Amelia,Young,Sydney,IT,Online,International
S091,Mia,Singh,Sydney,IT,Hybrid,Domestic
S092,Lucas,Nguyen,Melbourne,IT,Online,Domestic
S093,Mia,Jones,Sydney,Business,Online,Domestic
S094,Lucas,Young,Brisbane,Business,Hybrid,Domestic
S095,Ethan,Lee,Sydney,IT,On-campus,Domestic
S096,Charlotte,Brown,Perth,IT,On-campus,International
S097,Sara,Taylor,Melbourne,Business,On-campus,Domestic
S098,Ali,Walker,Brisbane,Engineering,On-campus,Domestic
S099,Grace,Walker,Sydney,Engineering,On-campus,Domestic
S100,Liam,Scott,Melbourne,Business,On-campus,Domestic
S101,Noah,Harris,Brisbane,Engineering,Hybrid,International
S102,Charlotte,Smith,Sydney,Engineering,Hybrid,Domestic
S103,Ethan,Nguyen,Sydney,Engineering,On-campus,Domestic
S104,Noah,Walker,Perth,Business,On-campus,Domestic
S105,Ali,Martin,Brisbane,IT,On-campus,Domestic
S106,Noah,Wilson,Sydney,IT,Online,International
S107,Liam,Wilson,Melbourne,IT,Online,Domestic
S108,Leo,Khan,Melbourne,Engineering,Hybrid,International
S109,Isla,Khan,Brisbane,IT,On-campus,Domestic
S110,Noah,Brown,Sydney,Engineering,Hybrid,International
S111,Ali,King,Sydney,Engineering,Hybrid,Domestic
S112,Liam,Walker,Sydney,Engineering,On-campus,Domestic
S113,Isla,Walker,Melbourne,IT,Hybrid,International
S114,Mia,Brown,Brisbane,Business,Online,International
S115,Lucas,Scott,Sydney,IT,Online,International
S116,Leo,Nguyen,Perth,Engineering,On-campus,Domestic
S117,Leo,Scott,Melbourne,Business,Hybrid,International
S118,Amelia,Jones,Sydney,IT,Online,Domestic
S119,Henry,Harris,Sydney,Business,Hybrid,International
S120,Mason,Singh,Sydney,IT,Hybrid,Domestic
